interval60,Temperature,Precipitation,Wind_Speed
2025-07-21T09:00:00Z,74,0,5
2025-07-21T10:00:00Z,75,0,6
2025-07-21T11:00:00Z,77,0,7
2025-07-21T12:00:00Z,79,0,10
2025-07-21T13:00:00Z,81,0,9
2025-07-21T14:00:00Z,83,0,10
2025-07-21T15:00:00Z,85,0,0
2025-07-21T16:00:00Z,85,0,7
2025-07-21T17:00:00Z,87,0,10
2025-07-21T18:00:00Z,87,0,4
2025-07-21T19:00:00Z,85,0,4
2025-07-21T20:00:00Z,87,0,7
2025-07-21T21:00:00Z,86,0,12
2025-07-21T22:00:00Z,85,0,7
2025-07-21T23:00:00Z,84,0,8
2025-07-22T00:00:00Z,81,0,7
2025-07-22T01:00:00Z,79,0,9
2025-07-22T02:00:00Z,77,0,7
2025-07-22T03:00:00Z,76,0,7
2025-07-22T04:00:00Z,74,0,8
2025-07-22T05:00:00Z,73,0,7
2025-07-22T06:00:00Z,71,0,7
2025-07-22T07:00:00Z,72,0,9
2025-07-22T08:00:00Z,70,0,7
2025-07-22T09:00:00Z,68,0,5
2025-07-22T10:00:00Z,70,0,7
2025-07-22T11:00:00Z,73,0,7
2025-07-22T12:00:00Z,75,0,8
2025-07-22T13:00:00Z,76,0,10
2025-07-22T14:00:00Z,79,0,10
2025-07-22T15:00:00Z,82,0,6
2025-07-22T16:00:00Z,84,0,7
2025-07-22T17:00:00Z,82,0,5
2025-07-22T18:00:00Z,85,0,0
2025-07-22T19:00:00Z,85,0,5
2025-07-22T20:00:00Z,83,0,6
2025-07-22T21:00:00Z,81,0,10
2025-07-22T22:00:00Z,80,0,12
2025-07-22T23:00:00Z,77,0,11
2025-07-23T00:00:00Z,75,0,10
2025-07-23T01:00:00Z,75,0,7
2025-07-23T02:00:00Z,73,0,7
2025-07-23T03:00:00Z,72,0,7
2025-07-23T04:00:00Z,71,0,5
2025-07-23T05:00:00Z,71,0,7
2025-07-23T06:00:00Z,71,0,3
2025-07-23T07:00:00Z,71,0,4
2025-07-23T08:00:00Z,69,0,5
2025-07-23T09:00:00Z,69,0,4
2025-07-23T10:00:00Z,71,0,0
2025-07-23T11:00:00Z,74,0,4
2025-07-23T12:00:00Z,78,0,5
2025-07-23T13:00:00Z,80,0,6
2025-07-23T14:00:00Z,81,0,8
2025-07-23T15:00:00Z,83,0,6
2025-07-23T16:00:00Z,84,0,0
2025-07-23T17:00:00Z,82,0,3
2025-07-23T18:00:00Z,85,0,5
2025-07-23T19:00:00Z,85,0,7
2025-07-23T20:00:00Z,84,0,10
2025-07-23T21:00:00Z,84,0,8
2025-07-23T22:00:00Z,83,0,9
2025-07-23T23:00:00Z,81,0,8
2025-07-24T00:00:00Z,76,0,6
2025-07-24T01:00:00Z,74,0,5
2025-07-24T02:00:00Z,74,0,6
2025-07-24T03:00:00Z,73,0,5
2025-07-24T04:00:00Z,72,0,5
2025-07-24T05:00:00Z,71,0,5
2025-07-24T06:00:00Z,72,0,6
2025-07-24T07:00:00Z,70,0,3
2025-07-24T08:00:00Z,69,0,3
2025-07-24T09:00:00Z,71,0,3
2025-07-24T10:00:00Z,73,0,4
2025-07-24T11:00:00Z,74,0,7
2025-07-24T12:00:00Z,77,0,7
2025-07-24T13:00:00Z,80,0,10
2025-07-24T14:00:00Z,83,0,13
2025-07-24T15:00:00Z,84,0,10
2025-07-24T16:00:00Z,87,0,10
2025-07-24T17:00:00Z,88,0,11
2025-07-24T18:00:00Z,88,0,12
2025-07-24T19:00:00Z,89,0,13
2025-07-24T20:00:00Z,89,0,10
2025-07-24T21:00:00Z,88,0,10
2025-07-24T22:00:00Z,87,0,11
2025-07-24T23:00:00Z,84,0,11
2025-07-25T00:00:00Z,81,0,8
2025-07-25T01:00:00Z,79,0,6
2025-07-25T02:00:00Z,78,0,5
2025-07-25T03:00:00Z,78,0,5
2025-07-25T04:00:00Z,79,0,8
2025-07-25T05:00:00Z,78,0,8
2025-07-25T06:00:00Z,77,0,8
2025-07-25T07:00:00Z,77,0,7
2025-07-25T08:00:00Z,76,0,7
2025-07-25T09:00:00Z,76,0,6
2025-07-25T10:00:00Z,77,0,8
2025-07-25T11:00:00Z,79,0,8
2025-07-25T12:00:00Z,81,0,9
2025-07-25T13:00:00Z,84,0,9
2025-07-25T14:00:00Z,88,0,9
2025-07-25T15:00:00Z,91,0,10
2025-07-25T16:00:00Z,92,0,11
2025-07-25T17:00:00Z,95,0,10
2025-07-25T18:00:00Z,96,0,12
2025-07-25T19:00:00Z,97,0,16
2025-07-25T20:00:00Z,97,0,17
2025-07-25T21:00:00Z,97,0,15
2025-07-25T22:00:00Z,83,1e-4,5
2025-07-25T23:00:00Z,81,0,0
2025-07-26T00:00:00Z,83,0,4
2025-07-26T01:00:00Z,82,0,7
2025-07-26T02:00:00Z,82,0,4
2025-07-26T03:00:00Z,82,0,5
2025-07-26T04:00:00Z,81,0,5
2025-07-26T05:00:00Z,81,0,6
2025-07-26T06:00:00Z,79,0,5
2025-07-26T07:00:00Z,79,0,4
2025-07-26T08:00:00Z,79,0,6
2025-07-26T09:00:00Z,78,0,7
2025-07-26T10:00:00Z,80,0,6
2025-07-26T11:00:00Z,81,0,10
2025-07-26T12:00:00Z,83,0,12
2025-07-26T13:00:00Z,83,0,12
2025-07-26T14:00:00Z,84,0,9
2025-07-26T15:00:00Z,86,0,7
2025-07-26T16:00:00Z,85,0,8
2025-07-26T17:00:00Z,86,0,7
2025-07-26T18:00:00Z,87,0,7
2025-07-26T19:00:00Z,85,0,4
2025-07-26T20:00:00Z,84,0,5
2025-07-26T21:00:00Z,84,0,5
2025-07-26T22:00:00Z,82,0,8
2025-07-26T23:00:00Z,80,0,5
2025-07-27T00:00:00Z,78,0,8
2025-07-27T01:00:00Z,77,0,6
2025-07-27T02:00:00Z,75,1e-4,6
2025-07-27T03:00:00Z,75,1e-4,4
2025-07-27T04:00:00Z,75,1e-4,0
2025-07-27T05:00:00Z,75,0,3
2025-07-27T06:00:00Z,75,1e-4,0
2025-07-27T07:00:00Z,72,0.05,6
2025-07-27T08:00:00Z,73,0,0
2025-07-27T09:00:00Z,73,0,3
2025-07-27T10:00:00Z,73,0,5
2025-07-27T11:00:00Z,74,0,4
2025-07-27T12:00:00Z,76,0,3
2025-07-27T13:00:00Z,77,0,3
2025-07-27T14:00:00Z,80.6,0,7
2025-07-27T15:00:00Z,81,0,7
2025-07-27T16:00:00Z,85,0,10
2025-07-27T17:00:00Z,88,1e-4,9
2025-07-27T18:00:00Z,89,0,7
2025-07-27T19:00:00Z,91,0,12
2025-07-27T20:00:00Z,89,0,12
2025-07-27T21:00:00Z,79,1e-4,11
2025-07-27T22:00:00Z,80,1e-4,8
2025-07-27T23:00:00Z,81,0,7
2025-07-28T00:00:00Z,81,0,5
2025-07-28T01:00:00Z,80,0,8
2025-07-28T02:00:00Z,79,0,8
